2018-08-19 15:26:46.506 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 28
2018-08-19 15:26:46.528 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.528 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 28
2018-08-19 15:26:46.528 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 29
2018-08-19 15:26:46.531 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.532 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 29
2018-08-19 15:26:46.532 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 30
2018-08-19 15:26:46.535 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.535 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 30
2018-08-19 15:26:46.535 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 31
2018-08-19 15:26:46.546 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 1
2018-08-19 15:26:46.547 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 31
2018-08-19 15:26:46.547 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 32
2018-08-19 15:26:46.547 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_FreeConnections: 0
2018-08-19 15:26:46.547 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_BoundConnections: 32
2018-08-19 15:26:46.547 [main] INFO  com.dk.gym.pool.ConnectionPool - Receive_PoolSize: 32
2018-08-19 15:26:46.548 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 1
2018-08-19 15:26:46.549 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 31
2018-08-19 15:26:46.551 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 32
2018-08-19 15:26:46.552 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.553 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 30
2018-08-19 15:26:46.559 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 32
2018-08-19 15:26:46.561 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.561 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 29
2018-08-19 15:26:46.562 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 31
2018-08-19 15:26:46.562 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.562 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 28
2018-08-19 15:26:46.563 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 30
2018-08-19 15:26:46.567 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.567 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 27
2018-08-19 15:26:46.567 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 29
2018-08-19 15:26:46.567 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 26
2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 28
2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 25
2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 27
2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
